# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
  2.950000000000E-04  7.037516258187E+14  1.332093014371E+20  9.880581912899E+02  4.512159881128E-01  2.846324450447E+00  2.504143551507E+00
  3.000000000000E-04  7.257992626008E+14  1.337597660116E+20  9.559936298239E+02  4.566764802669E-01  2.831724240223E+00  2.589749148356E+00
  3.050000000000E-04  7.467822996784E+14  1.342921842108E+20  9.249802697191E+02  4.620826396162E-01  2.817353179633E+00  2.676074119967E+00
  3.100000000000E-04  7.669449244529E+14  1.348071476653E+20  8.949836484957E+02  4.674350067813E-01  2.803204831566E+00  2.762399091579E+00
  3.150000000000E-04  7.862382645380E+14  1.353052286096E+20  8.659704334883E+02  4.727341170032E-01  2.789273061196E+00  2.848724063191E+00
  3.200000000000E-04  8.046184076240E+14  1.357869805183E+20  8.379083848065E+02  4.779805001974E-01  2.775552015201E+00  2.935049034803E+00
  3.250000000000E-04  8.220464448463E+14  1.362529387209E+20  8.107663195089E+02  4.831746810066E-01  2.762036102782E+00  3.021374006415E+00
  3.300000000000E-04  8.384884751577E+14  1.367036209965E+20  7.845140769527E+02  4.883171788532E-01  2.748719978333E+00  3.107698978027E+00
  3.350000000000E-04  8.539155734376E+14  1.371395281497E+20  7.591224852786E+02  4.934085079913E-01  2.735598525564E+00  3.194023949639E+00
  3.400000000000E-04  8.683037252253E+14  1.375611445666E+20  7.345633289946E+02  4.984491775581E-01  2.722666842963E+00  3.280348921250E+00
  3.450000000000E-04  8.816337310644E+14  1.379689387533E+20  7.108093176224E+02  5.034396916246E-01  2.709920230445E+00  3.366673892862E+00
  3.500000000000E-04  8.938910835006E+14  1.383633638563E+20  6.878340553722E+02  5.083805492465E-01  2.697354177086E+00  3.452998864474E+00
  3.550000000000E-04  9.050658197934E+14  1.387448581663E+20  6.656120118110E+02  5.132722445136E-01  2.684964349830E+00  3.539323836086E+00
  3.600000000000E-04  9.151523533748E+14  1.391138456053E+20  6.441184934930E+02  5.181152665996E-01  2.672746583092E+00  3.625648807698E+00
  3.650000000000E-04  9.241492870349E+14  1.394707361971E+20  6.233296165198E+02  5.229100998107E-01  2.660696869158E+00  3.711973779310E+00
  3.700000000000E-04  9.320592107291E+14  1.398159265236E+20  6.032222800004E+02  5.276572236342E-01  2.648811349321E+00  3.798298750922E+00
  3.750000000000E-04  9.388884867933E+14  1.401498001651E+20  5.837741403811E+02  5.323571127864E-01  2.637086305687E+00  3.884623722533E+00
  3.800000000000E-04  9.446470252226E+14  1.404727281268E+20  5.649635866168E+02  5.370102372602E-01  2.625518153581E+00  3.970948694145E+00
  3.850000000000E-04  9.493480515278E+14  1.407850692505E+20  5.467697161570E+02  5.416170623719E-01  2.614103434518E+00  4.057273665757E+00
  3.900000000000E-04  9.530078695198E+14  1.410871706143E+20  5.291723117182E+02  5.461780488078E-01  2.602838809673E+00  4.143598637369E+00
  3.950000000000E-04  9.556456212120E+14  1.413793679173E+20  5.121518188183E+02  5.506936526705E-01  2.591721053816E+00  4.229923608981E+00
  4.000000000000E-04  9.572830458515E+14  1.416619858533E+20  4.956893240474E+02  5.551643255240E-01  2.580747049681E+00  4.316248580593E+00
  4.050000000000E-04  9.579442399171E+14  1.419353384712E+20  4.797665340509E+02  5.595905144393E-01  2.569913782710E+00  4.402573552205E+00
  4.100000000000E-04  9.576554197419E+14  1.421997295244E+20  4.643657552016E+02  5.639726620391E-01  2.559218336171E+00  4.488898523816E+00
  4.150000000000E-04  9.564446882462E+14  1.424554528079E+20  4.494698739387E+02  5.683112065417E-01  2.548657886593E+00  4.575223495428E+00
  4.200000000000E-04  9.543418070879E+14  1.427027924850E+20  4.350623377503E+02  5.726065818052E-01  2.538229699513E+00  4.661548467040E+00
  4.250000000000E-04  9.513779753760E+14  1.429420234029E+20  4.211271367806E+02  5.768592173708E-01  2.527931125492E+00  4.747873438652E+00
  4.300000000000E-04  9.475856159271E+14  1.431734113985E+20  4.076487860392E+02  5.810695385054E-01  2.517759596402E+00  4.834198410264E+00
  4.350000000000E-04  9.429981698922E+14  1.433972135932E+20  3.946123081943E+02  5.852379662448E-01  2.507712621940E+00  4.920523381876E+00
  4.400000000000E-04  9.376499004354E+14  1.436136786793E+20  3.820032169291E+02  5.893649174352E-01  2.497787786363E+00  5.006848353487E+00
  4.450000000000E-04  9.315757060096E+14  1.438230471958E+20  3.698075008449E+02  5.934508047752E-01  2.487982745432E+00  5.093173325099E+00
  4.500000000000E-04  9.248109436453E+14  1.440255517959E+20  3.580116078914E+02  5.974960368568E-01  2.478295223539E+00  5.179498296711E+00
  4.550000000000E-04  9.173912625524E+14  1.442214175055E+20  3.466024303072E+02  6.015010182067E-01  2.468723011012E+00  5.265823268323E+00
  4.600000000000E-04  9.093524482263E+14  1.444108619733E+20  3.355672900545E+02  6.054661493263E-01  2.459263961576E+00  5.352148239935E+00
  4.650000000000E-04  9.007302771513E+14  1.445940957128E+20  3.248939247310E+02  6.093918267321E-01  2.449915989971E+00  5.438473211547E+00
  4.700000000000E-04  8.915603821050E+14  1.447713223357E+20  3.145704739438E+02  6.132784429951E-01  2.440677069708E+00  5.524798183159E+00
  4.750000000000E-04  8.818781279908E+14  1.449427387789E+20  3.045854661298E+02  6.171263867800E-01  2.431545230950E+00  5.611123154770E+00
  4.800000000000E-04  8.717184980521E+14  1.451085355226E+20  2.949278058088E+02  6.209360428846E-01  2.422518558519E+00  5.697448126382E+00
  4.850000000000E-04  8.611159902623E+14  1.452688968025E+20  2.855867612533E+02  6.247077922776E-01  2.413595190016E+00  5.783773097994E+00
  4.900000000000E-04  8.501045236339E+14  1.454240008144E+20  2.765519525638E+02  6.284420121371E-01  2.404773314040E+00  5.870098069606E+00
